text,actual_label,vader_prediction,lr_prediction,models_agree
"if you leave it only to make calls or receive calls, then it is a completely useless phone.,readmi a 1,budget friendly phone.,hi,budget phone,good for the price. but android 12 is actually go edition.,good budget phone,10/10 value for money Ã°ÂÂ¤Â i have been using this phone for two months. according to the price range, the battery backup and screen quality of the phone are good. according to this range, the camera is also fine. if we look at the performance, then it is not useless at all, but it is okay. i did not face any problem in calling. the phone starts lagging a lot while browsing or using shopping apps. if i give my opinion then this phone is good for parents.... if you want to buy this phone, then you should compare it with poco c31, for now there is not much difference in the price.,all is well but sim slot Ã°ÂÂÂ° damage,it is a very good phone on this price range. good to use in day today life use.,hi,a good budget phone,i bought this for office use. has good battery life. and basic features of android work fine. however, i noticed later that this is actually android 12 go edition. i don't mind using it. but some features are missing (which most people might not use). better than nokia c01 which has android 11 go edition, and on website there is not mention of any update. so, on a budget of 6k you can definitely but this one.,nice features, budget phone.,i like this product Ã°ÂÂÂ",1,1,1,True
"it controls brightness automatically whenever u go in dark place or in sunlight.,good in gaming,touch not good,good mobile within the price range,great phone,nice phone,budget mein sabse mast phone,good but camera quality is not up to the expectations camera quality is not up to the expectations this is my first 5g iqoo mobile purchased on 26th december at amazon. till now i didnt feel anything bad in this mobile .happy with the purchase. camera quality is good. it works smoothly in all the options.,this is good performance handset but the quality of the camera is not good, even though they said it's a 50 mp camera it's doesn't take that sharp picture. so you're not thinking about camera it's a good choice for this much amount. it's also have a problem with 5g(jio) connectivity.,touch not good,na,good phone but camera quality is not good enough but proccessor are great,very nice,budget mein sabse mast phone,camera quality is not up to the expectations",1,1,1,True
"best.,price is high,trusted and genuine hp ink cartridge.,sent a packet with the seal already opened.and the cartridge found to be duplicate/faulty/used one.,compatibility,product is good but price is to high,good,okay best fingerprint scanner divice.,easy to use,ink cartridges are easy to install. genuine product with very fine print quality.,sent a packet with the seal already opened.and the cartridge found to be duplicate/faulty/used one.,compatibility issue,product is very good but price to high so company take step for cut the price after that sell more and comfortable customers,not bad,okay",1,1,1,True
"worked on iphone 7 and didnÃ¢ÂÂt work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnÃ¢ÂÂt work on iphone xr, i didnÃ¢ÂÂt like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",1,1,1,True
"a good buy!,good item fun to play , brightness is good if used in proper light,very useful,average,good product at this price Ã°ÂÂÂ,nice,good quality product,very good product a good distraction to keep kids away from devices... overall a good buy!!!!,good item fun to play,like,an average writing pad.,brightness can be improve more and pen shape also can be change.,nice. very good for kids. easy to learn and quite educative.,value for money and good quality product,very nice and smooth easy to use and brightness is not very low, nice product for kids to use....",1,1,1,True
"nice product,great watch,ok ok,nice Ã°ÂÂÂ,thik thak,avarage,smart watch,they can improve more i really like this product. gifted to my sister, and she likes it,great Ã¢ÂÂ,good product,nice Ã°ÂÂÂ,thik hai,in this price range it's ok product,color so nice..i loved it,need some more features:(",1,1,1,True
"overall it's good. but some keys are hard to press,good product in this price range,the start button of the controller and select button became defective and stopped working,decent,good,just what i needed!,great but.,best controller under 1000 some keys could be better but in this budget it's good enoughi use to play gta 5 and fifa and some car racing games which are so goodand vibration is so good in this budget,good for this budget,the product worked fine for 6 months but after that, the start button and select button of the controller went inside and it became defective and it stopped working. so i had to wait for weeks for the buttons to come back up and for it to work again. since those two buttons are not crucial for playing the game, it was manageable to some extent.,tbh it's good.... if you are a amateur gamer it's completely fine at this price...but if you are hardcore gamer pro level then i will suggest you to pay a bit more and go for a better one because sometimes out of no reason some movements doesn't work ...when i play cricket suddenly in the middle of the match one shot selection doesn't work and it disrupts the momentum...... still it's a decent product... can't say about durability now will update few months later.,less weight compared to other sticksthe l2 and r2 is little hard but still playablebattery backup is goodthe charging port is b that's not a good thing because we all are using c port chargersalthough for this price point it's okay,i have been using this for 3 weeks now and i saw no flaws with this one. the l2 and r2 are a bit tight, but other than that no issues! i ruff use a lot when playing and this is very durable, (although it does not have markings for grip) the grip is good too. this one needed no extra installations and is a plug and play. just what i needed!,doesn't support all the time on windows 11. the device is not recognisable most of tge times and you just need to plug and unplug the thing continuously.,",1,1,2,False
"great to use, serves the purpose,good quality,good,good one,it's okay,good original cable,good quality,v good product quality is good, strong build, supports fast charging rates. some people may find the led really bright especially in the dark and it cannot be turned off. the port itself can be a bit loose but it can be used with cases are a bit thick.just check if your smartphone has earphone jack beside the charging port in which case you might not be able to use both together.,happy with the product,good,good one,more time teken,nice worth it,good quality,good product thanks amazon",1,1,1,True
"satisfactory one,optical cable loose contact,digital to analogue converter,its a good product to connect home theater music system without optical audio port.,very good product.,good,high quality amezon basic top notch go for best sound quality,good the build quality is good. not sure on the reliability front , letÃ¢ÂÂs see in few months. the sound quality is satisfactory. there is a reduction in sound which is expected during conversion anyway. but considering the price itÃ¢ÂÂs negligible. overall a good buy. will recommend this one especially for tvÃ¢ÂÂs without optical out and just coax/spdif out.,how relace it with warranty,for converting digital audio of sony bravia xr55x90j 4k uhd to sony dav-dz150kanalogue with r/l sound ouputfirst device did not work may be my errorreplacement device is excellentit is giving me virtual 5.1 effect while watching movies on disney hot star and amezon primemy 15cyears old dav- dz-150k home theaterwithout any digital output is giving perfe ct virtual 5.1 effect on pcm audioreplacement device was delivered by amezon injust two days timeexcellent service by amezonthanks also to u tube from where i learned my lessons of installing this classic devicei was very disappointed on 1st device and as there is no return policy i asked for replacement and it worked very welland now i am very happy and would like to recommend to people who have new tv without any analog output and has only digital and hdmi output and old home theater systems with only analog,component, or composit outputthank you amezon for this diwali gift,doesn't provides surround sound,very nice product. i am using it last few months. sound quality is very good,good,soooo nice,good",1,1,1,True
"good,thank you amazon very good charging cable,good,very good product,good quality,very good product,this is fast charging usb!,simply perfect at the price of below 100 everything is fine but it is bulky and hard, it should be softer and thinner.....,thank you amazon very good charging cable Ã°ÂÂÂ,good,good one,quality is good. worth for 150-200 Ã¢ÂÂ¹. short but durable.,very good product . satisfied..,this is fast charging c pin usb!you can purchase it.,nice product at price of below 100",1,1,1,True
"really good producers,thompson smart tv remote control,best for kodak tv,i love it,not feather touch,working fine,best without voice control,value for money really good producers,good with working conditions only voice assistant not working,i am using kodak 80 cm (32 inches) hd ready certified android led tv 32hdx7xpro.if you have the same model tv then just go for it.,best product,not feather touch,i like it having good performance,everything is fine except voice control. however w.r.t. price of voice controlled remotes, it's much better.,reasonable priced",1,1,1,True
"worked on iphone 7 and didnÃ¢ÂÂt work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnÃ¢ÂÂt work on iphone xr, i didnÃ¢ÂÂt like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",1,1,1,True
"very good product and met my need. thanks,decent value,nice qualityÃ¢ÂÂ¦ trustableÃ¢ÂÂ¦,just well in this price.,supports 2.4 amps fast charging,nice,nice.,value for money liked the product. accurate to my usb apparatus.,good value,till now i had purchased about 20 cables both micro and c type for myself and my family in this last one year. its all because this brand wins my trust by provinding great quality with reasonable price,na,tested with 2.4 amps charger and phone. gives full 2.4 amps power to phone.the cable looks thick and it has nice texture. despite that, i am sure it is not very durable. the usb connectors are extremely sturdy and they dont bend or flex. the wire will break before the connector does!!warning: usb micro connector has a strong hook. be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,super power,nice product.,in this price this is the best one",1,1,1,True
"ranjitha,good one,best one!!!,good and average usage,it's been good,good,overall good product,nice battery life is low,worth purchase,good performance at this price range,a economical product to buy for average usage of checking time, heart monitoring, steps track, etc.battery backup great single charge stands for min 3 days.recommended only for simple use and show off.,first of all, this watch is budget friendly.watch faces - the app has a large number of watch faces step track - not that accurate but that fineÃ¢ÂÂ¢ weather forecast:- 100% accuratesleep - pretty accurate information overall, the experience is pretty good.but but but, the battery life is not that good only 4 days of battery backup.,nice product,overall good product to buy,good product",1,1,1,True
"product is good,lots of fun for the price,good to use,handy,concept is good,lightweight,good for children,a best device for your child to make them intrested to study and practice. product is good. but the brightness is not that much enough.,very good and engaging tablet for small kids. totally worth the money,lightness , average bright,very economical nd handy for kids,the concept is good but product quality is not the best,good for gifting. value for money.,nice product,this is so affordable, or i would say it is so cheap. with this cheap priced device your child will become more intrested through the study.pros & conspros1:- best and unique2:- great device to gift to your children3:-affordable for any kind of person4:-long battery life and easy to change the battery5:-comes with a lock6:-nice writing experiencecons:-1:- not bright2:-if you want to erase tiny thing or a word you have yo erase all3:-get scratch or lines on the screen after writing.overall this is a valie for money product. you can gift.",1,1,1,True
"out of 5 iam giving 3.5 rating everything is okay except voice sound during call,simple for rough use,charger quality bad,lightweight.,terriffic battery life,good one for elders,good in this price,good rating everything is okay except voice sound during call,battery life is very good... sound is also loud..economical.,charger quality bad, lasted for 15+ days with low-medium usage. all functionality works fine. perfect for someone wanting to limit the distractions of a smartphone.,good product for elders,working well for about 1 year. everything okay,there is some disturbance in the sound while using wireless fm",1,1,1,True
"value for money,after 1 month usage review,good product,product is good and light weight.,good product,nice product.bluetooth option is good,can go for it, not much stable but a decent product,seems to be a good product by first use the selfie stick is made up of cheap quality plastic.however the built structure of the selfie stick is stable and even the tripod stand will provide you ample support to make a video time lapse or a portrait selfie.recommended to all video bloggers who have just started their channels on youtube or any other sites.its worth a product with the money we are paying to purchase it.,did take this product on a trip. it's good but i was always afraid whether it's going to fell from the stand. the holder is clumpsy, cannot hold it tighter. need another person help to insert the phone in the stand or need to sit down and stretch the phone holder to insert the phone. maybe not worth 399Ã¢ÂÂ¹. let me know if you have any other doubts,it is user friendly,product is good and light weight.,works well and bluetooth connectivity is also good.,nice product.bluetooth option is good,stability is ok only, otherwise a decent product,good product",1,1,2,False
awesome product quick delivery.awesome productpacking was goodjust opened the productexcited to you it,1,1,1,True
"little above average earbuds,buds i love,unique form factor,best call quality ear buds,good but is it worth it,bluetooth range not that good,excellent sounding pair of earbuds with one fatal flaw,bluetooth connectivity is not upto the mark the earphones have good clear sound quality. it lacks base. battery backup is good. anc is a myth in this earphone. it might hurt your ear if you wear it for longer duration depending on the shape of your ear,eat easily fit in ears and light weight ,and sound quality is good too. over all its worth to by this samsung buds ita connects well to the samsung mobile too.,bought this solely due to its form factor - to try how samsung has made them to sound in this open bud style. to be true samsung has managed excellently to give us an unique tws.this is not an inear style tws but resembles somewhat earbud style tws, only of its kind in the market as far as my knowledge goes.they are held very good in my ears, gives me a good seal and does not fall out (strange as i can't use earbuds because they fall out frequently). it seems that samsung has finalised the shape after a good homework. however, it doesn't mean that it will fit everybody as there are many dissatisfied users around the globe.the finish, build and all such generic factors are top notch. the size of the buds and the case is very small.now about the sound. if the buds fit in one's ears with a good seal, the sound is full bodied but if the seal is not perfect, it may be tinny.the sound signature is very bassy for my taste and i have to eq it to my taste. the bass is so pounding that sometimes it becomes difficult to get a taste of the treble. i listen it in treble boost mode adjusted through the app. anc works strangely and noise reduction is not very decipherable. in contrary, anc on somewhat opens up the sound. don't buy this for anc.strangely to me, these buds sound better on my iphone 12mini than my galaxy s22 (spotify and apple music). the buds have app support for both android (galaxy wear) and ios (galaxy buds live) but the android app is more feature packed and works better. the ios app couldn't update the firmware (although there is a menu in the app) and always showed the device to be on latest firmware. however, as soon as i connected with my s22, on pairing, the first thing it did was to update the firmware.i love these buds solely for their form factor and they are pretty good for 4.4k against an mrp of 16k. the do sound very good but does not suit my taste. persons loving bass may love them. don't get them for anc. battery consumption not yet fully tested but seems ok. it has wireless charging too. if your ears are too small or too large than normal - better not to buy as they may either not go in the ears or will fit loose giving a improper seal.,best call quality. noise cancelling could have been improved to best, but still wotks good.descent battery life.music is good. not to that top notch, but good in this segment.overall worth for buying with good call quality a very little to compromise but good.,i am using this for like 3 months it is a good and productive if you are in the samsung ecosystem if you are not a part then do not buy it its not worth its price.,bluetooth range is not that good,the sound quality is extremely good for a tws and the sound signature is almost flat. i got these for rs.5290, it almost felt like a steal deal for me until i faced one cardinal flaw in the design of these buds. the bluetooth antenna has an absymal performance. it feels like i am using bluetooth v3.0. the range is so poor that even if you put the phone in the pocket, the audio starts stuttering. the mic quality is a hit or miss, inside the house it works very well, but outside it performs poorly. i think it has more to do with poor antenna design than the microphone's quality. if you are thinking that maybe the faulty product is an exception, then do a google search about its range issue and you will find hundreds of people complaining about the same thing. samsung has poorly implemented the design and is reluctant to admit its fault. i pity those who bought it at around 15k for such a flawed product. even at rs 5k it is not worth it because of the range issue. it is better to buy a wired iem, atleast it will sound better than this.,in this price samsung brand is goodeasy to wear and good battery backuphardly support the 2 meter bluetooth connectivity",1,1,1,True
"not so good,good,best best from market.,very good iron,v good,light weight value for money,really good iron at this price,overall good. the iron plate coating isn't good. sticks on clothes, especially on printed shirts.,good to use,value for money.,value for money,v good,nice product fast heating very good product,gets through everyday work easily. temp. control is good. the indicator is brilliant. the cord is easy with the movement at the joint.,everything is good",1,1,1,True
"awesome,good,product is good but amazon packaging was worst .,good,fufills my need,good,nies,cheap and best wifi 5 gigabit router watch is awesome Ã°ÂÂÂ Ã°ÂÂÂsatisfiedworking properly,good,packaging was very bad,good,good router,good,nies,one of the cheapest wifi 5 gigabit routers. those not willing to pay 4k rupees or more for wifi 6 & 6e routers will find this one to be suitable enough. keep in mind that wifi 6 & 6e routers will of course have better performance and stability than wifi 5 routers.can easily stream 4k videos and download files. no issues on video calls either on phone or pc. no connection drops or any other problems so far.i had to input my isp-provided account username and password during setup on the miwifi website. not sure if that will be the case for everybody.will update in a few more months.",1,1,1,True
